source_name,extracted_at,location_id,city_name,country_code,date,latitude,longitude,timezone,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max
forecast,2026-06-08T19:40:40+00:00,900015,Santa Cruz de Tenerife,ES,2026-06-10,28.4636,-16.2518,Atlantic/Canary,22.2,18.0,19.7,1.5,0.2,0.0,18.9
forecast,2026-06-08T19:40:40+00:00,900015,Santa Cruz de Tenerife,ES,2026-06-11,28.4636,-16.2518,Atlantic/Canary,23.4,17.5,20.0,0.0,0.0,0.0,13.4
forecast,2026-06-08T19:40:40+00:00,900015,Santa Cruz de Tenerife,ES,2026-06-12,28.4636,-16.2518,Atlantic/Canary,25.2,17.2,20.8,0.0,0.0,0.0,11.2
forecast,2026-06-08T19:40:40+00:00,900015,Santa Cruz de Tenerife,ES,2026-06-13,28.4636,-16.2518,Atlantic/Canary,24.7,17.7,20.8,0.0,0.0,0.0,14.2
forecast,2026-06-08T19:40:40+00:00,900015,Santa Cruz de Tenerife,ES,2026-06-14,28.4636,-16.2518,Atlantic/Canary,23.3,18.0,20.6,0.0,0.0,0.0,15.1
forecast,2026-06-08T19:40:40+00:00,900016,Santander,ES,2026-06-08,43.4623,-3.8099,Europe/Madrid,20.0,17.2,18.3,0.6,0.6,0.0,15.0
forecast,2026-06-08T19:40:40+00:00,900016,Santander,ES,2026-06-09,43.4623,-3.8099,Europe/Madrid,18.5,16.2,17.2,1.4,1.43,0.0,18.9
forecast,2026-06-08T19:40:40+00:00,900016,Santander,ES,2026-06-10,43.4623,-3.8099,Europe/Madrid,18.6,13.8,16.1,0.9,0.8,0.0,10.9
forecast,2026-06-08T19:40:40+00:00,900016,Santander,ES,2026-06-11,43.4623,-3.8099,Europe/Madrid,21.6,11.1,16.7,0.0,0.0,0.0,16.4
forecast,2026-06-08T19:40:40+00:00,900016,Santander,ES,2026-06-12,43.4623,-3.8099,Europe/Madrid,25.1,12.9,19.2,0.0,0.0,0.0,21.9
forecast,2026-06-08T19:40:40+00:00,900016,Santander,ES,2026-06-13,43.4623,-3.8099,Europe/Madrid,31.2,15.4,23.3,0.0,0.0,0.0,25.5
forecast,2026-06-08T19:40:40+00:00,900016,Santander,ES,2026-06-14,43.4623,-3.8099,Europe/Madrid,28.0,20.9,24.4,0.0,0.0,0.0,12.8
forecast,2026-06-08T19:40:40+00:00,900017,Albacete,ES,2026-06-08,38.9943,-1.8585,Europe/Madrid,34.1,16.6,24.8,0.0,0.0,0.0,19.6
forecast,2026-06-08T19:40:40+00:00,900017,Albacete,ES,2026-06-09,38.9943,-1.8585,Europe/Madrid,31.2,17.6,24.5,0.0,0.0,0.0,16.9
forecast,2026-06-08T19:40:40+00:00,900017,Albacete,ES,2026-06-10,38.9943,-1.8585,Europe/Madrid,29.4,18.2,22.9,0.0,0.0,0.0,17.9
forecast,2026-06-08T19:40:40+00:00,900017,Albacete,ES,2026-06-11,38.9943,-1.8585,Europe/Madrid,28.6,16.8,21.9,0.0,0.0,0.0,18.1
forecast,2026-06-08T19:40:40+00:00,900017,Albacete,ES,2026-06-12,38.9943,-1.8585,Europe/Madrid,28.4,14.6,21.3,0.0,0.0,0.0,16.8
forecast,2026-06-08T19:40:40+00:00,900017,Albacete,ES,2026-06-13,38.9943,-1.8585,Europe/Madrid,29.6,13.6,22.0,0.0,0.0,0.0,19.1
forecast,2026-06-08T19:40:40+00:00,900017,Albacete,ES,2026-06-14,38.9943,-1.8585,Europe/Madrid,31.0,14.2,23.0,0.0,0.0,0.0,19.4
forecast,2026-06-08T19:40:40+00:00,900018,Ciudad Real,ES,2026-06-08,38.9848,-3.9273,Europe/Madrid,33.4,18.5,26.0,0.0,0.0,0.0,16.2
forecast,2026-06-08T19:40:40+00:00,900018,Ciudad Real,ES,2026-06-09,38.9848,-3.9273,Europe/Madrid,33.6,15.3,25.3,0.0,0.0,0.0,12.6
forecast,2026-06-08T19:40:40+00:00,900018,Ciudad Real,ES,2026-06-10,38.9848,-3.9273,Europe/Madrid,32.9,17.1,25.6,0.0,0.0,0.0,9.0
forecast,2026-06-08T19:40:40+00:00,900018,Ciudad Real,ES,2026-06-11,38.9848,-3.9273,Europe/Madrid,33.3,17.8,25.7,0.0,0.0,0.0,17.7
forecast,2026-06-08T19:40:40+00:00,900018,Ciudad Real,ES,2026-06-12,38.9848,-3.9273,Europe/Madrid,33.2,17.3,25.5,0.0,0.0,0.0,20.3
forecast,2026-06-08T19:40:40+00:00,900018,Ciudad Real,ES,2026-06-13,38.9848,-3.9273,Europe/Madrid,34.0,16.1,25.0,0.0,0.0,0.0,12.8
forecast,2026-06-08T19:40:40+00:00,900018,Ciudad Real,ES,2026-06-14,38.9848,-3.9273,Europe/Madrid,33.5,17.1,26.0,0.0,0.0,0.0,10.6
forecast,2026-06-08T19:40:40+00:00,900019,Cuenca,ES,2026-06-08,40.0704,-2.1374,Europe/Madrid,30.6,15.1,23.3,0.0,0.0,0.0,16.0
forecast,2026-06-08T19:40:40+00:00,900019,Cuenca,ES,2026-06-09,40.0704,-2.1374,Europe/Madrid,29.5,17.5,23.4,0.0,0.0,0.0,16.9
forecast,2026-06-08T19:40:40+00:00,900019,Cuenca,ES,2026-06-10,40.0704,-2.1374,Europe/Madrid,27.3,15.6,21.2,0.0,0.0,0.0,23.7
forecast,2026-06-08T19:40:40+00:00,900019,Cuenca,ES,2026-06-11,40.0704,-2.1374,Europe/Madrid,27.5,14.6,21.2,0.0,0.0,0.0,15.7
forecast,2026-06-08T19:40:40+00:00,900019,Cuenca,ES,2026-06-12,40.0704,-2.1374,Europe/Madrid,28.5,14.3,21.4,0.0,0.0,0.0,16.6
